Demojized,Captions,Latitude,Longitude,Retweet Count,Created (UTC),Full Text,Sentiment Score,Sentiment
"Single person tipping hand  but not ready to mingle upside down face ... Ghoomenge phirenge naachenge gaayenge aish karenge ...…  Single person tipping hand  but not ready to mingle upside down face ... Ghoomenge phirenge naachenge gaayenge aish karenge ... 
#LondonParisNewYorkLaSanFransisco And
#SouthKoreaCanada
#FullMoon
#TheAntidote
#HowYouLikeThat
Bas maje karrnge  ", Single   but not ready to mingle  ... Ghoomenge phirenge naachenge gaayenge aish karenge ...   LondonParisNewYorkLaSanFransisco And  SouthKoreaCanada  FullMoon  TheAntidote  HowYouLikeThat Bas maje karrnge,26.13142728,91.83634698,0,2021-10-09 10:27:47,"Single person tipping hand  but not ready to mingle upside down face ... Ghoomenge phirenge naachenge gaayenge aish karenge ...…  Single person tipping hand  but not ready to mingle upside down face ... Ghoomenge phirenge naachenge gaayenge aish karenge ... 
#LondonParisNewYorkLaSanFransisco And
#SouthKoreaCanada
#FullMoon
#TheAntidote
#HowYouLikeThat
Bas maje karrnge    Single   but not ready to mingle  ... Ghoomenge phirenge naachenge gaayenge aish karenge ...   LondonParisNewYorkLaSanFransisco And  SouthKoreaCanada  FullMoon  TheAntidote  HowYouLikeThat Bas maje karrnge",-0.103174603174603,Negative
Just posted a photo @ Gauhati  ,,26.150686,91.730339,0,2021-10-09 15:19:52,Just posted a photo @ Gauhati   ,0,Neutral
Just posted a photo @ Addicted To Flavours  ,  pizza  club  sandwich  chessy  grilledsandwich  . . . . . . . . . . . . . . . . . . . . . . ..   clubsandwich  foodie  foodshare  foodstagram  foodblogger  foodvideos  viralpics  instasandwich  instafood  instalike  instapost  instaphoto  instapic  instapornfood  foodporn  foodlover    addictedtoflavours  flavourslive  fancybazar  guwahati  guwahatifoodie  guwahatiplus  guwahatiplus  guwahatiblogger   keepsmiling,26.18163,91.740074,0,2021-10-10 11:01:04,Just posted a photo @ Addicted To Flavours     pizza  club  sandwich  chessy  grilledsandwich  . . . . . . . . . . . . . . . . . . . . . . ..   clubsandwich  foodie  foodshare  foodstagram  foodblogger  foodvideos  viralpics  instasandwich  instafood  instalike  instapost  instaphoto  instapic  instapornfood  foodporn  foodlover    addictedtoflavours  flavourslive  fancybazar  guwahati  guwahatifoodie  guwahatiplus  guwahatiplus  guwahatiblogger   keepsmiling,-0.4,Negative
Waxoyl. Keeps Car New. @ Power Carbons Pvt Ltd  ,,26.18532832,91.78717288,0,2021-10-09 10:46:53,Waxoyl. Keeps Car New. @ Power Carbons Pvt Ltd   ,0.136363636363636,Positive
Received the 3rd stripe @pilotraghav  #gratitude #thankful @ Guwhati Airport  ,,26.10539295,91.58789536,0,2021-10-10 07:52:36,Received the 3rd stripe @pilotraghav  #gratitude #thankful @ Guwhati Airport   ,0,Neutral
Just posted a photo @ Gauhati  , ,26.150686,91.730339,0,2021-10-10 08:57:08,Just posted a photo @ Gauhati    ,0,Neutral
Just posted a photo @ Gnrc Dispur Guwahati  , BRAVE HEART OF THE DAY MAN OF THE DAY Date  10.10.2021     MR.PRANJOL ROY  a member of helping hand blood donors group has extended the noble job by DONATED HIS BLOOD AT GNRC HOSPITAL We wish patient s speedy recovery and every possible support from our group.... DURING THIS PANDEMIC SITUATION..... THE HELPING HAND BLOOD DONORS congratulate MR.PRANJOL ROY for his noble job. AND REALLY A GREAT BRAVE HEART IN THIS EARTH        BLOOD DONORS    SAVE A LIFE    DONATED BLOOD....,26.13872751,91.79431618,0,2021-10-10 01:44:53,Just posted a photo @ Gnrc Dispur Guwahati    BRAVE HEART OF THE DAY MAN OF THE DAY Date  10.10.2021     MR.PRANJOL ROY  a member of helping hand blood donors group has extended the noble job by DONATED HIS BLOOD AT GNRC HOSPITAL We wish patient s speedy recovery and every possible support from our group.... DURING THIS PANDEMIC SITUATION..... THE HELPING HAND BLOOD DONORS congratulate MR.PRANJOL ROY for his noble job. AND REALLY A GREAT BRAVE HEART IN THIS EARTH        BLOOD DONORS    SAVE A LIFE    DONATED BLOOD....,0.6,Very Positive
"Ghana music awards Uk United Kingdom  ongoing inside Royal Regency, United Kingdom  @ Royal Regency  ", ,26.18452153,91.78973107,0,2021-10-10 01:28:22,"Ghana music awards Uk United Kingdom  ongoing inside Royal Regency, United Kingdom  @ Royal Regency    ",0,Neutral
Witness the biggest match of #ipl2021. Who will qualify for finals? Watch #csk vs #dc live screening at…  Witness the biggest match of #ipl2021. Who will qualify for finals? Watch #csk vs #dc live screening at @chaipiyo cafe lounge from 7:30 PM today.. !! #chaipiyo . For bookings call 7099114445/7099114446 @ Chai Piyo  , Witness the biggest match of  ipl2021. Who will qualify for finals  Watch  csk vs  dc live screening at  chaipiyo cafe lounge from 7 30 PM today..     chaipiyo . For bookings call 7099114445 7099114446,26.16079205,91.78104305,0,2021-10-10 10:45:11,Witness the biggest match of #ipl2021. Who will qualify for finals? Watch #csk vs #dc live screening at…  Witness the biggest match of #ipl2021. Who will qualify for finals? Watch #csk vs #dc live screening at @chaipiyo cafe lounge from 7:30 PM today.. !! #chaipiyo . For bookings call 7099114445/7099114446 @ Chai Piyo    Witness the biggest match of  ipl2021. Who will qualify for finals  Watch  csk vs  dc live screening at  chaipiyo cafe lounge from 7 30 PM today..     chaipiyo . For bookings call 7099114445 7099114446,0.161931818181818,Positive
You can't dull my sparkle smiling face with sunglasses smiling face with sunglasses  @ Pantaloons  ,,26.181353,91.740013,0,2021-10-09 11:02:23,You can't dull my sparkle smiling face with sunglasses smiling face with sunglasses  @ Pantaloons   ,-0.291666666666667,Negative
"Just posted a photo @ Gandhi Basti ,sarania Hills  ",  LocalShifting  NoCompromiseOnQuality     Shifting your Home or Office is a big task when you have to Pack and unpack all valuable goods on your own  But what if you get professional assistance in Packing  Loading  Transporting  Unloading and unpacking your commodities      Choose us for Hassle free Relocation Service  We believe in Quality at Affordable Rates with Safety and Security.      Our testimonials speaks about our customer satisfaction  We love our work enough to make you fall in love with our service.      We are the best Packers and Movers in Guwahati as said by our clients  it s only because of our professional packing Team and good Quality Materials.     Hurry Upto 30  Discount on Local ShiftingCall WhatsApp us   8876414773  8638099668 and get your FREE Quotation Today.     Find us on    Google   https   g.page kiranshree movers and packers gm   Website   https   www.kiranshreemovers.com   Twitter   https   twitter.com Kiranshreemover s 09  YouTube   https   youtu.be lXeVIZ6njro  Instagram   https   instagram.com kiranshreemovers igshid sxs7se0hsu7x   RelocationSpecialist  PackersAndMoversinGuwahati   KiranshreeMoversAndPackers  StaySafeStayHealthy  RelocatingTrust  RelocationSpecialist   DoortoDoorService  PackersAndMoversinAssam  PackersAndMoversinMeghalaya  PackersAndMoversinTripura  PackersAndMoversinMizoram  PackersAndMoversinManipur  PackersAndMoversinNagaland  PackersAndMoversinArunachalPradesh  BestPackersInNortheast,26.17860684,91.7644071,0,2021-10-09 12:37:39,"Just posted a photo @ Gandhi Basti ,sarania Hills     LocalShifting  NoCompromiseOnQuality     Shifting your Home or Office is a big task when you have to Pack and unpack all valuable goods on your own  But what if you get professional assistance in Packing  Loading  Transporting  Unloading and unpacking your commodities      Choose us for Hassle free Relocation Service  We believe in Quality at Affordable Rates with Safety and Security.      Our testimonials speaks about our customer satisfaction  We love our work enough to make you fall in love with our service.      We are the best Packers and Movers in Guwahati as said by our clients  it s only because of our professional packing Team and good Quality Materials.     Hurry Upto 30  Discount on Local ShiftingCall WhatsApp us   8876414773  8638099668 and get your FREE Quotation Today.     Find us on    Google   https   g.page kiranshree movers and packers gm   Website   https   www.kiranshreemovers.com   Twitter   https   twitter.com Kiranshreemover s 09  YouTube   https   youtu.be lXeVIZ6njro  Instagram   https   instagram.com kiranshreemovers igshid sxs7se0hsu7x   RelocationSpecialist  PackersAndMoversinGuwahati   KiranshreeMoversAndPackers  StaySafeStayHealthy  RelocatingTrust  RelocationSpecialist   DoortoDoorService  PackersAndMoversinAssam  PackersAndMoversinMeghalaya  PackersAndMoversinTripura  PackersAndMoversinMizoram  PackersAndMoversinManipur  PackersAndMoversinNagaland  PackersAndMoversinArunachalPradesh  BestPackersInNortheast",0.330769230769231,Positive
Just posted a photo @ Gauhati  ,  you taught me that no sunset is identical  yet forgot to teach me that no other hand can match the gap between my fingers other than yours  . . Location  Deepor Beel  Guwahati  Assam  India . . Apple iPhone SE  1st Gen  Project 365 Project 12x12 . . . . .  apple  iphone  shotoniphone  assam  northeast  norteastindia  streetphotography  streetphotographyindia  streetphotographyinternational  anseladams  henricartierbresson  landscape  landscapes  panorama  sunset  sunsets  tones  agameoftones  moody  moodygrams   soi  voyaged  indiapictures  incredibleindia  outlooktraveller  cntravellerindia  lonelyplanetindia  theuncommonbox  yourshotphotographer  NGTIndia,26.150686,91.730339,0,2021-10-09 17:05:11,Just posted a photo @ Gauhati     you taught me that no sunset is identical  yet forgot to teach me that no other hand can match the gap between my fingers other than yours  . . Location  Deepor Beel  Guwahati  Assam  India . . Apple iPhone SE  1st Gen  Project 365 Project 12x12 . . . . .  apple  iphone  shotoniphone  assam  northeast  norteastindia  streetphotography  streetphotographyindia  streetphotographyinternational  anseladams  henricartierbresson  landscape  landscapes  panorama  sunset  sunsets  tones  agameoftones  moody  moodygrams   soi  voyaged  indiapictures  incredibleindia  outlooktraveller  cntravellerindia  lonelyplanetindia  theuncommonbox  yourshotphotographer  NGTIndia,-0.03125,Negative
"Live more, worry lesssmiling face with open hands red heart 
Throughout
#daytime @ Diphu, Karbi Anglong, Assam  ",,26.1524519,91.7893849,0,2021-10-10 02:56:46,"Live more, worry lesssmiling face with open hands red heart 
Throughout
#daytime @ Diphu, Karbi Anglong, Assam   ",0.159090909090909,Positive
"Just posted a photo @ GMCH, Guwahati  ",   Shifting your Home or Office is a big task when you have to Pack and unpack all valuable goods on your own  But what if you get professional assistance in Packing  Loading  Transporting  Unloading and unpacking your commodities      Choose us for Hassle free Relocation Service  We believe in Quality at Affordable Rates with Safety and Security.      Our testimonials speaks about our customer satisfaction  We love our work enough to make you fall in love with our service.      We are the best Packers and Movers in Guwahati as said by our clients  it s only because of our professional packing Team and good Quality Materials.     Hurry Upto 50  Discount on interstate Relocation Call WhatsApp us   8876414773  8638099668 and get your FREE Quotation Today.     Find us on    Google   https   g.page kiranshree movers and packers gm   Website   https   www.kiranshreemovers.com   Twitter   https   twitter.com Kiranshreemover s 09  YouTube   https   youtu.be lXeVIZ6njro  Instagram   https   instagram.com kiranshreemovers igshid sxs7se0hsu7x   RelocationSpecialist  PackersAndMoversinGuwahati   KiranshreeMoversAndPackers  StaySafeStayHealthy  RelocatingTrust  RelocationSpecialist   DoortoDoorService  PackersAndMoversinAssam  PackersAndMoversinMeghalaya  PackersAndMoversinTripura  PackersAndMoversinMizoram  PackersAndMoversinManipur  PackersAndMoversinNagaland  PackersAndMoversinArunachalPradesh  BestPackersInNortheast,26.15911907,91.76908574,0,2021-09-29 07:35:07,"Just posted a photo @ GMCH, Guwahati      Shifting your Home or Office is a big task when you have to Pack and unpack all valuable goods on your own  But what if you get professional assistance in Packing  Loading  Transporting  Unloading and unpacking your commodities      Choose us for Hassle free Relocation Service  We believe in Quality at Affordable Rates with Safety and Security.      Our testimonials speaks about our customer satisfaction  We love our work enough to make you fall in love with our service.      We are the best Packers and Movers in Guwahati as said by our clients  it s only because of our professional packing Team and good Quality Materials.     Hurry Upto 50  Discount on interstate Relocation Call WhatsApp us   8876414773  8638099668 and get your FREE Quotation Today.     Find us on    Google   https   g.page kiranshree movers and packers gm   Website   https   www.kiranshreemovers.com   Twitter   https   twitter.com Kiranshreemover s 09  YouTube   https   youtu.be lXeVIZ6njro  Instagram   https   instagram.com kiranshreemovers igshid sxs7se0hsu7x   RelocationSpecialist  PackersAndMoversinGuwahati   KiranshreeMoversAndPackers  StaySafeStayHealthy  RelocatingTrust  RelocationSpecialist   DoortoDoorService  PackersAndMoversinAssam  PackersAndMoversinMeghalaya  PackersAndMoversinTripura  PackersAndMoversinMizoram  PackersAndMoversinManipur  PackersAndMoversinNagaland  PackersAndMoversinArunachalPradesh  BestPackersInNortheast",0.358333333333333,Positive
Just posted a photo @ Guwahati City  ,                                       Design    siphungbahi                            quotes                       follow                                                                                              Follow us for  assamesequotes and  poem  siphungbahi   guwahati  indian  proudmoment  assamflash  assamesequotes   assamese  assamesepage    jorhat  sibsagar  dibrugrah  guwahati  nagaon  tezpur  nalbari  assam  assamese  northeast  eastindian  axom,26.13635895,91.78461313,0,2021-09-29 05:10:55,Just posted a photo @ Guwahati City                                          Design    siphungbahi                            quotes                       follow                                                                                              Follow us for  assamesequotes and  poem  siphungbahi   guwahati  indian  proudmoment  assamflash  assamesequotes   assamese  assamesepage    jorhat  sibsagar  dibrugrah  guwahati  nagaon  tezpur  nalbari  assam  assamese  northeast  eastindian  axom,0,Neutral
"2880 Sq Ft Myadi Patta Plot At #Jyotikuchi. #ResidentialPlot #Land #ForSale #Guwahati #Residential #Property
 ",,26.12845097,91.73197746,0,2021-09-29 09:29:23,"2880 Sq Ft Myadi Patta Plot At #Jyotikuchi. #ResidentialPlot #Land #ForSale #Guwahati #Residential #Property
  ",0,Neutral
"পাহাৰ , বনৰীয়া জীৱ জন্তু , সেউজীয়া প্ৰকৃতিৰ মাজত কিছু সময় smiling face with heart eyes 

#Pobitora #nationalpark #wildlife…  পাহাৰ , বনৰীয়া জীৱ জন্তু , সেউজীয়া প্ৰকৃতিৰ মাজত কিছু সময় smiling face with heart eyes 

#Pobitora #nationalpark #wildlife #pobitorawildlifesanctuary #onehornedrhino #wildanimals #ride #nature #naturelovers #naturephotography  ",                                                               Pobitora  nationalpark  wildlife  pobitorawildlifesanctuary  onehornedrhino  wildanimals  ride  nature  naturelovers  naturephotography,26.17826024,91.82938339,0,2021-09-29 11:02:33,"পাহাৰ , বনৰীয়া জীৱ জন্তু , সেউজীয়া প্ৰকৃতিৰ মাজত কিছু সময় smiling face with heart eyes 

#Pobitora #nationalpark #wildlife…  পাহাৰ , বনৰীয়া জীৱ জন্তু , সেউজীয়া প্ৰকৃতিৰ মাজত কিছু সময় smiling face with heart eyes 

#Pobitora #nationalpark #wildlife #pobitorawildlifesanctuary #onehornedrhino #wildanimals #ride #nature #naturelovers #naturephotography                                                                  Pobitora  nationalpark  wildlife  pobitorawildlifesanctuary  onehornedrhino  wildanimals  ride  nature  naturelovers  naturephotography",0,Neutral
"Ready to move new #3BHK #Apartment #Flat #ForSale #SixMile #Guwahati #Residential #Property
 ",,26.132067,91.80624,0,2021-09-29 05:36:42,"Ready to move new #3BHK #Apartment #Flat #ForSale #SixMile #Guwahati #Residential #Property
  ",0.103787878787879,Positive
"#assamsiblings #teeth #viral #trending #assamsiblingsteeth 
#rawza #aryan @ Bidyanagar,Garigaon  ", My Bhagins niece nephew .The present Kid Celebrity        assamsiblings  teeth  viral  trending  assamsiblingsteeth   rawza  aryan  timesofindia  north.eastern.chronicle  thetruth.india  tezpurbuzz  hindustantimes  timesnow  ndtv  himantabiswasarma  thepmo  news18assamne,26.158224,91.65987015,0,2021-09-29 15:55:37,"#assamsiblings #teeth #viral #trending #assamsiblingsteeth 
#rawza #aryan @ Bidyanagar,Garigaon    My Bhagins niece nephew .The present Kid Celebrity        assamsiblings  teeth  viral  trending  assamsiblingsteeth   rawza  aryan  timesofindia  north.eastern.chronicle  thetruth.india  tezpurbuzz  hindustantimes  timesnow  ndtv  himantabiswasarma  thepmo  news18assamne",0,Neutral
"Really it was very special and inspirational moment for me...
I am so glad to perform an act in front of you @ Assa…  Really it was very special and inspirational moment for me...
I am so glad to perform an act in front of you @ Assam Fine Arts &amp; Crafts Society  ", Really it was very special and inspirational moment for me... I am so glad to perform an act in front of you,26.1771297,91.7543716,0,2021-09-29 17:43:22,"Really it was very special and inspirational moment for me...
I am so glad to perform an act in front of you @ Assa…  Really it was very special and inspirational moment for me...
I am so glad to perform an act in front of you @ Assam Fine Arts &amp; Crafts Society    Really it was very special and inspirational moment for me... I am so glad to perform an act in front of you",0.416117216117216,Positive
"House/Villa in Manisha Apartment #2Bedroom #IndependentHouse #ForRent #JayanagarChariali #Guwahati #Residential…  House/Villa in Manisha Apartment #2Bedroom #IndependentHouse #ForRent #JayanagarChariali #Guwahati #Residential #Property
 ",,26.1280039,91.80863935,0,2021-09-29 07:37:32,"House/Villa in Manisha Apartment #2Bedroom #IndependentHouse #ForRent #JayanagarChariali #Guwahati #Residential…  House/Villa in Manisha Apartment #2Bedroom #IndependentHouse #ForRent #JayanagarChariali #Guwahati #Residential #Property
  ",0,Neutral
"Beautiful Morning view of Maa Kamakhya Temple. 
. 
#kamakhya #kamakhyatemple #northeast #morning #positivevibes @ M…  Beautiful Morning view of Maa Kamakhya Temple. 
. 
#kamakhya #kamakhyatemple #northeast #morning #positivevibes @ Maa Kamakhya Temple  Nilachal Devi  ", Beautiful Morning view of Maa Kamakhya Temple.  .   kamakhya  kamakhyatemple  northeast  morning  positivevibes  photography,26.1667433,91.70534849,0,2021-09-30 00:03:09,"Beautiful Morning view of Maa Kamakhya Temple. 
. 
#kamakhya #kamakhyatemple #northeast #morning #positivevibes @ M…  Beautiful Morning view of Maa Kamakhya Temple. 
. 
#kamakhya #kamakhyatemple #northeast #morning #positivevibes @ Maa Kamakhya Temple  Nilachal Devi    Beautiful Morning view of Maa Kamakhya Temple.  .   kamakhya  kamakhyatemple  northeast  morning  positivevibes  photography",0.85,Very Positive
"Good Training session today flexed biceps 
Live long and prosper dear friend @malakar siddharth 
#armwrestling @ Evolution the P…  Good Training session today flexed biceps 
Live long and prosper dear friend @malakar siddharth 
#armwrestling @ Evolution the Power Gym  ", Good Training session today   Live long and prosper dear friend  malakar siddharth   armwrestling,26.1771299,91.75437,0,2021-09-30 17:24:16,"Good Training session today flexed biceps 
Live long and prosper dear friend @malakar siddharth 
#armwrestling @ Evolution the P…  Good Training session today flexed biceps 
Live long and prosper dear friend @malakar siddharth 
#armwrestling @ Evolution the Power Gym    Good Training session today   Live long and prosper dear friend  malakar siddharth   armwrestling",0.262121212121212,Positive
Come into action at live from 7:30 @chaipiyo cafe lounge fire fire fire  #ipl2021 #chaipiyo @ Chai Piyo  , Come into action at live from 7 30  chaipiyo cafe lounge      ipl2021  chaipiyo,26.16079205,91.78104305,0,2021-09-30 12:33:07,Come into action at live from 7:30 @chaipiyo cafe lounge fire fire fire  #ipl2021 #chaipiyo @ Chai Piyo    Come into action at live from 7 30  chaipiyo cafe lounge      ipl2021  chaipiyo,0.118181818181818,Positive
"1440 SQ FT MYADI PATTA PLOT WITH ASSAM TYPE HOUSE IN #Dhirenpara #ResidentialPlot #Land #ForSale #Guwahati…  1440 SQ FT MYADI PATTA PLOT WITH ASSAM TYPE HOUSE IN #Dhirenpara #ResidentialPlot #Land #ForSale #Guwahati #Residential #Property
 ",,26.14626964,91.72669888,0,2021-09-30 08:53:29,"1440 SQ FT MYADI PATTA PLOT WITH ASSAM TYPE HOUSE IN #Dhirenpara #ResidentialPlot #Land #ForSale #Guwahati…  1440 SQ FT MYADI PATTA PLOT WITH ASSAM TYPE HOUSE IN #Dhirenpara #ResidentialPlot #Land #ForSale #Guwahati #Residential #Property
  ",0,Neutral
Just posted a photo @ Guwahati City  ,                                       Design    siphungbahi                            quotes                       follow                                                                                              Follow us for  assamesequotes and  poem  siphungbahi   guwahati  indian  proudmoment  assamflash  assamesequotes   assamese  assamesepage    jorhat  sibsagar  dibrugrah  guwahati  nagaon  tezpur  nalbari  assam  assamese  northeast  eastindian  axom,26.13635895,91.78461313,0,2021-09-30 04:50:04,Just posted a photo @ Guwahati City                                          Design    siphungbahi                            quotes                       follow                                                                                              Follow us for  assamesequotes and  poem  siphungbahi   guwahati  indian  proudmoment  assamflash  assamesequotes   assamese  assamesepage    jorhat  sibsagar  dibrugrah  guwahati  nagaon  tezpur  nalbari  assam  assamese  northeast  eastindian  axom,0,Neutral
thinking face  @ Assam  ,  ,26.14,91.77,0,2021-09-30 16:34:22,thinking face  @ Assam     ,0,Neutral
Just posted a photo @ Guwahati Assam India  ,  Beauty can be seen in all things  seeing and composing the beauty is what separates the snapshot from the photograph.    Matt Hardy . . . . . . . .  indiatravel  india  travel  incredibleindia  ig  travelphotography  travelgram  travelindia  indiatravelgram  photography  travelblogger  wanderlust  indiapictures  instatravel  travelrealindia  nature  indiaclicks  himachal  indiatourism  indianphotography  himachalpradesh  storiesofindia  kerala  photographers  indiangirlstravel  of  indiatraveldiaries  photooftheday  lonelyplanetindia  bhfyp,26.10452,91.5913099,0,2021-09-30 05:17:03,Just posted a photo @ Guwahati Assam India     Beauty can be seen in all things  seeing and composing the beauty is what separates the snapshot from the photograph.    Matt Hardy . . . . . . . .  indiatravel  india  travel  incredibleindia  ig  travelphotography  travelgram  travelindia  indiatravelgram  photography  travelblogger  wanderlust  indiapictures  instatravel  travelrealindia  nature  indiaclicks  himachal  indiatourism  indianphotography  himachalpradesh  storiesofindia  kerala  photographers  indiangirlstravel  of  indiatraveldiaries  photooftheday  lonelyplanetindia  bhfyp,0,Neutral
Just posted a photo @ Rajgarh  , It s Ok To Be Simple   but be little Cool with your type of style    . . . . . .    .  .  .  .  .   art  beautiful  beauty  cute  fashion  fashionblogger  fashionstyle  follow  girl  happy  instafashion  instagood  instagram  instastyle  lifestyle  love  me  model  nature  photo  photography  photooftheday  picoftheday  smile  streetstyle  style  styleblogger  stylefashion  styleinspo  travel via  hashtagexpert,26.17366901,91.76656113,0,2021-09-30 07:38:13,Just posted a photo @ Rajgarh    It s Ok To Be Simple   but be little Cool with your type of style    . . . . . .    .  .  .  .  .   art  beautiful  beauty  cute  fashion  fashionblogger  fashionstyle  follow  girl  happy  instafashion  instagood  instagram  instastyle  lifestyle  love  me  model  nature  photo  photography  photooftheday  picoftheday  smile  streetstyle  style  styleblogger  stylefashion  styleinspo  travel via  hashtagexpert,0.401388888888889,Positive
Just posted a video @ Assam  , ,26.14,91.77,0,2021-09-30 08:38:58,Just posted a video @ Assam    ,0,Neutral
Just posted a photo @ Assam  ,,26.14,91.77,0,2021-10-10 19:47:13,Just posted a photo @ Assam   ,0,Neutral
Just posted a photo @ Guwahati  , ,26.16666667,91.76666667,0,2021-10-11 04:04:51,Just posted a photo @ Guwahati    ,0,Neutral
Just posted a photo @ Guwahati  , ,26.16666667,91.76666667,0,2021-10-11 04:04:16,Just posted a photo @ Guwahati    ,0,Neutral
Just posted a photo @ K9 Studio  ,,26.15771068,91.78744555,0,2021-10-11 08:00:22,Just posted a photo @ K9 Studio   ,0,Neutral
Just posted a photo @   ,,26.1771297,91.7543716,0,2021-10-10 16:06:38,Just posted a photo @    ,0,Neutral
"১০ টকীয়া জীৱন লাখ টকীয়া সপোন expressionless face relieved face 

#rantu regon #Rantu Official #instagrampost @ Assam  ",,26.14,91.77,0,2021-10-11 02:52:30,"১০ টকীয়া জীৱন লাখ টকীয়া সপোন expressionless face relieved face 

#rantu regon #Rantu Official #instagrampost @ Assam   ",0,Neutral
Just posted a photo @   ,,26.1771297,91.7543716,0,2021-10-11 07:26:54,Just posted a photo @    ,0,Neutral
Just posted a photo @ Gauhati  , Hello   Happy sunday    New song coming soon   stay tune ..   yamaha  yamahaguitar  acoustic  acousticguitar  sunday  sundayfunday  instagood  instapic  manash  pratim  digboi   manashpratimdigboi  manashdigboi  studio  newmusic  newsong  studiomusic  music  song  assam  assamesesong  guwahati  assamese  musicproduction  musically,26.150686,91.730339,0,2021-10-10 11:04:14,Just posted a photo @ Gauhati    Hello   Happy sunday    New song coming soon   stay tune ..   yamaha  yamahaguitar  acoustic  acousticguitar  sunday  sundayfunday  instagood  instapic  manash  pratim  digboi   manashpratimdigboi  manashdigboi  studio  newmusic  newsong  studiomusic  music  song  assam  assamesesong  guwahati  assamese  musicproduction  musically,0.312121212121212,Positive
May goddess Durga empower you with Her love and blessing. Happy Durga Puja to everyone. #JaiMaaDurga #durgapuja2021…  May goddess Durga empower you with Her love and blessing. Happy Durga Puja to everyone. #JaiMaaDurga #durgapuja2021 #KiranshreeMoversAndPackers @ Kiranshree Movers and Packers  , May goddess Durga empower you with Her love and blessing. Happy Durga Puja to everyone.  JaiMaaDurga  durgapuja2021  KiranshreeMoversAndPackers,26.14411938,91.786156,0,2021-10-11 05:13:37,May goddess Durga empower you with Her love and blessing. Happy Durga Puja to everyone. #JaiMaaDurga #durgapuja2021…  May goddess Durga empower you with Her love and blessing. Happy Durga Puja to everyone. #JaiMaaDurga #durgapuja2021 #KiranshreeMoversAndPackers @ Kiranshree Movers and Packers    May goddess Durga empower you with Her love and blessing. Happy Durga Puja to everyone.  JaiMaaDurga  durgapuja2021  KiranshreeMoversAndPackers,0.65,Very Positive
Just posted a photo @ Assam  ,    free    . . .  pressoriginphotos  visualizeradib  photostory  indiaphotoconcept  blankandwhite  lensculture  reutersindia  apfstreetphotographymagazine  gettyimages  editorialphotography  documentaryphotography  documagazine  nurphoto agency  mystreet bnw  monochromamagazine  india gram  ap  epa  efe  pti  bnw demand  betterphotographymagazine  insidephotos  zumapress  momaphotoclub  fujifilm  necollective  streetphotocollective  MoMANYC  yourshotphotographer,26.14,91.77,0,2021-10-10 19:36:33,Just posted a photo @ Assam       free    . . .  pressoriginphotos  visualizeradib  photostory  indiaphotoconcept  blankandwhite  lensculture  reutersindia  apfstreetphotographymagazine  gettyimages  editorialphotography  documentaryphotography  documagazine  nurphoto agency  mystreet bnw  monochromamagazine  india gram  ap  epa  efe  pti  bnw demand  betterphotographymagazine  insidephotos  zumapress  momaphotoclub  fujifilm  necollective  streetphotocollective  MoMANYC  yourshotphotographer,0.4,Positive
Just posted a photo @ Guwahati  , ,26.16666667,91.76666667,0,2021-10-11 04:05:55,Just posted a photo @ Guwahati    ,0,Neutral
Just posted a photo @ Guwahati  , ,26.16666667,91.76666667,0,2021-10-11 04:06:40,Just posted a photo @ Guwahati    ,0,Neutral
Just posted a photo @ Guwahati  , ,26.16666667,91.76666667,0,2021-10-11 04:07:24,Just posted a photo @ Guwahati    ,0,Neutral
Which team you are supporting..!!fire fire  Watch #rcb vs #kkr live screening from 7:30 PM @chaipiyo cafe lounge hot beverage .…  Which team you are supporting..!!fire fire  Watch #rcb vs #kkr live screening from 7:30 PM @chaipiyo cafe lounge hot beverage . #ipl2021 #chaipiyo #qualifier #qualifier2 @ Chai Piyo  , Which team you are supporting..     Watch  rcb vs  kkr live screening from 7 30 PM  chaipiyo cafe lounge   .  ipl2021  chaipiyo  qualifier  qualifier2,26.16079205,91.78104305,0,2021-10-11 06:55:18,Which team you are supporting..!!fire fire  Watch #rcb vs #kkr live screening from 7:30 PM @chaipiyo cafe lounge hot beverage .…  Which team you are supporting..!!fire fire  Watch #rcb vs #kkr live screening from 7:30 PM @chaipiyo cafe lounge hot beverage . #ipl2021 #chaipiyo #qualifier #qualifier2 @ Chai Piyo    Which team you are supporting..     Watch  rcb vs  kkr live screening from 7 30 PM  chaipiyo cafe lounge   .  ipl2021  chaipiyo  qualifier  qualifier2,0.193181818181818,Positive
